"name","website","status","email_found","source_url","all_candidates"
"Iris Memory Care of Turtle Creek","https://www.irisseniorliving.com","found","support@irisseniorliving.com","https://www.irisseniorliving.com/contact-us","support@irisseniorliving.com; sales@irisseniorliving.com"
"The Preston of the Park Cities","https://www.watermarkcommunities.com","found","media@watermarkcommunities.com","https://www.watermarkcommunities.com/contact-us","media@watermarkcommunities.com"
"Belmont Village Senior Living Turtle Creek","https://www.belmontvillage.com","found","vendor@belmontvillage.com","https://www.belmontvillage.com/contact","vendor@belmontvillage.com; lgrimes@belmontvillage.com; comm@belmontvillage.com; u003evendor@belmontvillage.com"
"The Forum at Park Lane","https://theforumatparklane.seniorlivingnearme.com","found","info@discoverymgt.com","https://theforumatparklane.seniorlivingnearme.com/contact-us","info@discoverymgt.com"
"The Landon at Lake Highlands","https://www.landonatlakehighlands.com","no-email-found","","",""
"The Grove on Forest Lane","https://thegroveonforestlane.com","no-email-found","","",""
"Sunrise on Hillcrest","https://www.sunriseseniorliving.com","no-email-found","","",""
"Unbridled Living of Dallas","https://unbridledliv.com","no-email-found","","",""
"StoryPoint Caruth Haven","https://storypoint.com","no-email-found","","",""
"Clearwater Highland Park","https://clearwaterhighlandpark.com","no-email-found","","",""
"Emerson on Harvest Hill","https://www.emersonharvesthill.com","found","information@emersononharvesthill.com","https://www.emersonharvesthill.com","information@emersononharvesthill.com"
"The Legacy Midtown Park","http://thelegacyseniorcommunities.org","no-email-found","","",""
"The Tradition-Lovers Lane Assisted Living & Memory Care","https://www.traditionseniorliving.com","no-email-found","","",""
"Vitality Living Preston Hollow","https://www.vitalityseniorliving.com","no-email-found","","",""
"The Villages of Lake Highlands","http://villagesoflakehighlands.com","found","info@villagesoflakehighlands.com","http://villagesoflakehighlands.com","info@villagesoflakehighlands.com"
"Juniper Village at Preston Hollow","https://juniperprestonhollow.com","no-email-found","","",""
"Optimal Cares @Home - Lavendale","","no-website","","",""
"Manchester Care Homes Tranquilla - Dallas TX","https://manchestercarehomes.com","no-email-found","","",""
"Bhartiya Nivas","https://www.bhartiyanivas.com","no-email-found","","",""
"Edgemere","https://edgemerelife.com","no-email-found","","",""
"The Bentley - Sky Active Living","https://thebentleyseniorliving.com","found","info@discoverymgt.com","https://thebentleyseniorliving.com/contact-us","info@discoverymgt.com"
"Highland Springs Senior Living Community","https://www.ericksonliving.com","no-email-found","","",""
"Meadowstone Place","http://meadowstoneplace.com","no-email-found","","",""
"Signature Pointe","http://www.signature-pointe.com","no-email-found","","",""
"Patriot Senior Services Dallas, TX","","no-website","","",""
